_	PRON VERB DET ADJ NOUN PART ADV SCONJ PUNCT ADP CCONJ AUX NUM PROPN SYM INTJ _
sweet-papers	NOUN
sweet-paper	NOUN
dinky	PROPN
gazatska	NOUN
gravitated	VERB
gravitate	VERB
grammar-structure	NOUN
nineteenth-century	NOUN
belligerently	ADV
belligerent	ADV
pleasure-seeking	VERB
repute	NOUN
unenjoyably	ADV
unenjoyable	ADV
receptions	NOUN
godmothers	NOUN
christening	VERB
unnoticed	VERB ADJ
dobby	PROPN
sprinted	VERB
sprint	VERB
lurching	VERB
catlike	ADJ
petunia	PROPN
sugared	ADJ
violets	NOUN
violet	NOUN
cupboard	NOUN
crouched	VERB
heart-stopping	ADJ
disturbed	ADJ VERB
upsets	VERB
shooed	VERB
masons	PROPN
mason	PROPN
flay	VERB
ice-cream	NOUN
scrubbing	VERB
after-dinner	ADJ
mints	NOUN
swooped	VERB
swoop	VERB
banshee	NOUN
dursleys	PROPN
dursley	PROPN
mortally	ADV
clutching	VERB
demonic	ADJ
glint	NOUN
wizards	NOUN
spells	NOUN
spellwork	NOUN
sorcery	NOUN
1875	NUM
non-magical	ADJ
offence	NOUN
confederation	NOUN
warlocks	NOUN
warlock	NOUN
statute	NOUN
mafalda	PROPN
hopkirk	PROPN
improper	ADJ
gulped	VERB
bulldog	NOUN
bared	VERB
locking	VERB
cat-flap	NOUN
relenting	ADJ
miserably	ADV
magicking	ADJ
hogwarts	PROPN
hogwart	PROPN
privet	PROPN
all-time	ADJ
fruitbats	NOUN
fruitbat	NOUN
happenings	NOUN
rattled	VERB
rattle	VERB
tinned	ADJ
aching	VERB
hedwig	PROPN
soggy	ADJ
ruffled	VERB
hungrier	ADJ
supposing	VERB
rumbling	VERB
rumble	VERB NOUN
spinning	VERB NOUN
unanswerable	ADJ
good-looking	ADJ
blond	ADJ
gilderoy	PROPN
lockhart	PROPN
winking	VERB
cheekily	ADV
weasley	PROPN
beamed	VERB
yawning	VERB
yawn	VERB
grumbling	VERB
weasleys	PROPN
slouched	VERB
slouch	VERB
gnarl	ADJ
spilling	VERB
flowerbed	NOUN
frogs	NOUN
scuffling	NOUN
peony	NOUN
shuddered	VERB
gnome	NOUN
grimly	ADV
leathery-looking	ADJ
knobbly	ADJ
horny	ADJ
ankles	NOUN
ankle	NOUN
gnomeholes	NOUN
gnomehole	NOUN
thud	NOUN
gnomes	NOUN
razor-sharp	ADJ
de-gnoming	VERB
de-gnome	VERB
straggling	ADJ
hunched	VERB
slumped	VERB
slump	VERB
robes	NOUN
travel-worn	ADJ
eagerly	ADV
muggle-baiting	NOUN
shrinking	VERB ADJ
guiltily	ADV
tinkering	VERB
tinker	VERB
spark	NOUN VERB
passageway	NOUN
zigzagged	VERB
zigzag	VERB
ajar	ADV
bedspread	NOUN
wallpaper	NOUN
witch	NOUN
energetically	ADV
spellbooks	NOUN
spellbook	NOUN
untidily	ADV
adventures	NOUN
miggs	PROPN
migg	PROPN
wand	NOUN
window-sill	NOUN
scabbers	PROPN
snoozing	VERB
snooze	VERB
self-shuffling	ADJ
sneaking	VERB
ghoul	NOUN
pipes	NOUN
clanking	ADJ
fussed	VERB
helpings	NOUN
ingenious	ADJ
compensations	NOUN
clever	ADJ
reckoned	VERB
reckon	VERB
benenden	PROPN
piety	NOUN
qe2	PROPN
constellated	VERB
constellate	VERB
tidied	VERB
alluvia	NOUN
deposits	NOUN
jetted	VERB
halves	NOUN
recessed	VERB
hammered	VERB
cutted	VERB
healed	VERB
often-dream	NOUN
stella	X PROPN
maris	X
legends	NOUN
finned	VERB
coniuntis	X
oppositorum	X
remora	NOUN
rudder	NOUN
alters	VERB
acquaint	VERB
pondering	VERB
urgency	NOUN
crossings	NOUN
down-to-earth	ADJ
veneer	NOUN
respectability	NOUN
jove	PROPN
wide-eyed	ADJ
fay	PROPN
wray	PROPN
nodding	VERB
nodd	VERB
trudged	VERB
trudge	VERB
glowed	VERB
pronouncing	VERB
space-time	NOUN
lag	NOUN
synchronicity	NOUN
half-memories	NOUN
half-memory	NOUN
entertain	VERB
self-regulating	ADJ
self-regulate	ADJ
unconsciousness	NOUN
load-balancing	ADJ
pulleys	NOUN
pulley	NOUN
roused	VERB
paracelsus	PROPN
capra	PROPN
astronomers	NOUN
astronomer	NOUN
telescopes	NOUN
telescope	NOUN
hooped	VERB
prow	NOUN
tattered	ADJ
shuddering	NOUN
world-clock	NOUN
shabbat	NOUN
papa	PROPN
ecstasy	NOUN
jewishness	NOUN
telephones	NOUN
blissful	ADJ
fifteen-minute	ADJ
check-in	NOUN
tarmac	NOUN
boarded	VERB
twin-propeller	ADJ
toothbrush	NOUN
breasts	NOUN
narcissus	PROPN
hypnotised	VERB
hypnotise	VERB
undifferentiated	VERB
undifferentiate	VERB
inexhaustible	ADJ
venetian	ADJ
pacing	VERB
rialto	PROPN
winn	VERB
rafts	NOUN
rapids	NOUN
mantling	VERB
mantle	VERB NOUN
trilby	NOUN
persona	NOUN
identities	NOUN
truthful	ADJ
tug-boat	NOUN
seaman	NOUN
balaclava	NOUN
windlass	NOUN
shamrocks	NOUN
shamrock	NOUN
ahoy	INTJ
coupe	NOUN
concealed	VERB
conceal	VERB
multi-chart	NOUN
multichart	NOUN
axis	NOUN
davolio	PROPN
summarizes	VERB
quantities	NOUN
restricting	VERB
orderdetails	PROPN
ordervalue	PROPN
recordsetdef	PROPN
msde	X
authentication	NOUN
lastname	NOUN
01-jul-1999	NUM
08-jul-1999	NUM
31-dec-1999	NUM
higher-level	NOUN
promotions	NOUN
group1	PROPN
caption	NOUN VERB
captioned	VERB
captions	NOUN
nested	ADJ
lower-level	NOUN
alt	NOUN
pointer	NOUN
double-headed	ADJ
lengthens	VERB
lengthen	VERB
intently	ADV
counterman	NOUN
luncheonette	NOUN
pitching	VERB
bullpen	NOUN
pena	PROPN
chicken-shits	VERB
grounder	NOUN
fucker	NOUN
kingman	PROPN
bye-bye	INTJ
turd	NOUN
has-been	NOUN
mean-faced	ADJ
cincinatti	PROPN
leaguers	NOUN
leaguer	NOUN
brooks	PROPN
mookie	PROPN
rusty	PROPN ADJ
fuckers	NOUN
notebooks	NOUN
reds	ADJ
yellows	ADJ
typewriter	NOUN
irresistible	ADJ ADV
gingerly	ADV
fanning	VERB
eight-and-a-half-by-eleven	NUM
six-forty-one	NUM
geography	NOUN
rush-hour	NOUN
unmarked	ADJ
exits	NOUN
alcoves	NOUN
alcove	NOUN
elude	VERB
solaced	VERB
awry	ADJ
69th	ADJ
deft	ADJ
incomparably	ADV
incomparable	ADV
freer	ADJ
charade	NOUN
absolved	VERB
absolve	VERB
imagining	VERB
celestial	ADJ
tally	VERB
clusters	NOUN
pinprick	NOUN
bulls	NOUN
archers	NOUN
archer	NOUN
hesitated	VERB
divining	VERB
omelette	NOUN
retreate	VERB
comforted	VERB
idiotic	ADJ
forks	NOUN
omelettes	NOUN
lurked	VERB
lurk	VERB
self-obsessed	ADJ
ingrate	NOUN
reticent	ADJ
conceded	VERB
concede	VERB
essays	NOUN
tounge-in-cheek	ADV
imaginative	ADJ
gist	NOUN
authorship	NOUN
cervantes	PROPN
cid	PROPN
hamete	PROPN
benengali	PROPN
hires	VERB
vouch	VERB
frauds	NOUN
impostors	NOUN
impostor	NOUN
make-believe	NOUN
devoured	VERB
devour	VERB
romances	NOUN
stand-in	NOUN
bewitched	VERB
bewitch	VERB
panza	PROPN
accompanies	VERB
inane	ADJ
malapropisms	NOUN
malapropism	NOUN
dictated	VERB
samson	PROPN
carrasco	PROPN
salamanca	PROPN
chivalry	NOUN
obsessions	NOUN
disguises	NOUN VERB
busy-minded	ADJ
head-culture	NOUN
surfaces	NOUN
hasidim	NOUN
carousel	NOUN
hasid	NOUN
deformities	NOUN
puritans	NOUN
puritan	NOUN
seventeenth-century	NOUN
observing	VERB
plymouth	PROPN
impartially	ADV
arrivals	NOUN
mishkenot	PROPN
sha'ananim	PROPN
dwellings	NOUN
serenity	NOUN
teddy	PROPN
kollek	PROPN
irrepressible	ADJ
archbishops	NOUN
opulent	ADJ
portly	ADJ
cassock	NOUN
ball-point	NOUN
pens	NOUN
clipped	VERB
schneider	PROPN
budapest	PROPN
amos	PROPN
foreign-news	NOUN
icons	NOUN
blue-green	ADJ
sprigged	VERB
sprig	VERB
berries	NOUN
nimble	ADJ ADV
superknowledgeable	ADJ
eggplant	NOUN
recipes	NOUN
dirian	PROPN
alexanian	PROPN
bach	PROPN
unaccompanied	VERB
casals	PROPN
suppressing	VERB
enchanted	ADJ
proche	PROPN
rumanian	ADJ
seventeenth	ADJ
now-and-then	ADV
brutish	ADJ
pitiless	ADJ
fearful	ADJ
nifty	ADJ
hoffa	PROPN
godfather	NOUN
lenin	PROPN
characterizes	VERB
bubbling	VERB
solzhenitsyn	PROPN
incline	VERB
nota	PROPN
brows	NOUN
brow	NOUN
coloring	NOUN
swagger	NOUN
war-hardened	ADJ
foraged	VERB
explanations	NOUN
amiable	ADJ
good-natured	ADJ ADV
undeveloped	VERB ADJ
bruce-briggs	PROPN
disappointments	NOUN
ingratiate	VERB
neutralist	NOUN
proteges	NOUN
protege	NOUN
inclination	NOUN
illusionless	ADJ
messrs.	NOUN
prefatory	ADJ
seminars	NOUN
seminar	NOUN
briefings	NOUN
yehoshua	PROPN
unease	NOUN
ehud	PROPN
ezer	PROPN
prerequisite	NOUN
compulsion	NOUN
newscast	NOUN
pre-determined	VERB
pre-determine	VERB
elevating	ADJ
borne	VERB
phantoms	NOUN
politicized	VERB
politicize	VERB
murky	ADJ
deformations	NOUN
deformation	NOUN
platitudes	NOUN
platitude	NOUN
tormenting	VERB
occurrences	NOUN
tussle	NOUN
rooming	ADJ
corresponds	VERB
d-day	PROPN
marlow	PROPN
personage	NOUN
&c.	ADV
&c	ADV
skipper	NOUN
captains	NOUN
scuffle	NOUN
quarrel	NOUN
fresleven	PROPN
dane	NOUN
wronged	VERB
ashore	ADV
gentlest	ADJ
self-respect	NOUN
whacked	VERB
mercilessly	ADV
thunderstruck	ADJ
jab	NOUN
shoulder-blades	NOUN
shoulder-blade	NOUN
calamities	NOUN
calamity	NOUN
steamer	NOUN
huts	NOUN
gaped	VERB
gape	VERB
askew	ADV
enclosures	NOUN
whited	ADJ
sepulcher	NOUN
over-sea	ADJ
oversea	ADJ
innumerable	ADJ
sprouting	VERB
carriage	NOUN
archways	NOUN
archway	NOUN
ponderously	ADV
cracks	NOUN
ungarnished	VERB
straw-bottomed	ADJ
downcast	ADJ
somnambulist	NOUN
umbrella-cover	NOUN
waiting-room	NOUN
deuce	NOUN
smears	NOUN
lager-beer	NOUN
ough	INTJ
white-haired	ADJ
secretarial	ADJ
beckoned	VERB
beckon	VERB
writing-desk	NOUN
squatted	VERB
squat	VERB
plumpness	NOUN
frock-coat	NOUN
handle-end	NOUN
murmured	VERB
voyage	NOUN
forty-five	NOUN
desolation	NOUN
knitted	VERB ADJ
caravan	NOUN
babble	NOUN
uncouth	ADJ
uproar	NOUN
lamentable	ADJ
tearfully	ADV
frightful	ADJ
composure	NOUN
alluding	VERB
tumult	NOUN
station-yard	NOUN
entries	NOUN
savages	NOUN
thoughtful	ADJ
messengers	NOUN
ceased	VERB
homeward-bound	ADJ
insensible	ADJ
tree-tops	NOUN
tree-top	NOUN
two-hundred-mile	NOUN
stamped-in	ADJ
stamp+in	ADJ
thickets	NOUN
thicket	NOUN
ravines	NOUN
ravine	NOUN
ablaze	ADV
gravesend	PROPN
catching	VERB ADJ
yokels	NOUN
yokel	NOUN
thereabouts	ADV
pathetically	ADV
60-lb.	NOUN
water-gourd	NOUN
tremor	NOUN
far-off	ADJ
suggestive	ADJ
bells	NOUN
unbuttoned	ADJ
unbutton	ADJ
lank	ADJ
zanzibaris	NOUN
zanzibari	NOUN
festive	ADJ
upkeep	NOUN
negro	NOUN
bullet-hole	NOUN
stumbled	VERB
exasperating	ADJ
exasperate	ADJ
hillsides	NOUN
hillside	NOUN
coming-to	VERB
come+to	VERB
scornfully	ADV
jibbed	VERB
jib	VERB
sneaked	VERB
mutiny	NOUN
scientifically	ADV
hobbled	VERB
hobble	VERB
smelly	ADJ
inclosed	VERB
inclose	VERB
rushes	NOUN
flabby	ADJ
staves	NOUN
stave	NOUN
languidly	ADV
strolling	VERB
excitable	ADJ
mustaches	NOUN
mustache	NOUN
volubility	NOUN
digressions	NOUN
digression	NOUN
splendidly	ADV
agitation	NOUN
bonino	PROPN
second-hand	ADJ
shopkeeper	NOUN
after-sales	ADJ
after-sale	ADJ
sine-qua-non	NOUN
stressing	VERB
abattoirs	NOUN
abattoir	NOUN
isolation	NOUN
bse	PROPN
stripped	VERB
harmonization	NOUN
12.00	NUM
legislated	VERB
legislate	VERB
budgetary	ADJ
von	PROPN
habsburg	PROPN
long-term	ADJ
crises	NOUN
deprive	VERB
undertakings	NOUN
undertaking	NOUN
species-friendly	ADJ
wayside	NOUN
irresponsible	ADJ
recital	NOUN
no-4	NUM
audiovisual	ADJ
medium-sized	ADJ
katiforis	PROPN
a4-0090/99	NUM
smes	NOUN PROPN
sme	NOUN PROPN
mentorship	NOUN
fragmented	VERB
acp-eu	NOUN
intensified	ADJ VERB
intensify	ADJ VERB
hautala	PROPN
a4-0029/99	NUM
abortion	NOUN
abortions	NOUN
entitlement	NOUN
equates	VERB
mobilisation	NOUN
unattainable	ADJ
non-ionising	ADJ
tamino	PROPN
health-endangering	ADJ
electromagnetic	ADJ
europe-wide	ADJ
no-12	NUM
regrettably	ADV
precautionary	ADJ
flouted	VERB
flout	VERB
contempt	NOUN VERB
wto	PROPN
nkrumah	PROPN
springy	ADJ
crew-cut	NOUN ADJ
topiary	NOUN
barbering	VERB
encircling	ADJ
hostly	ADJ
rump	NOUN
uncertainly	ADV
cockney	NOUN
chum	NOUN
kabata	PROPN
flag-draped	ADJ
bunting-swathed	VERB
toga	NOUN
stringy	ADJ
splay-footed	ADJ
constituted	VERB
portering	ADJ
porter	ADJ NOUN
mukwayi	PROPN
servile	ADJ
pennant	NOUN
volkswagen	PROPN
thighs	NOUN
indira	PROPN
arrives	VERB
sekou	PROPN
toure	PROPN
gilded	ADJ
arches	NOUN
puce	ADJ
inwardly	ADV
inward	ADV ADJ
umsalongwe	PROPN
matoko	PROPN
crock	NOUN
paraffin	NOUN
tins	NOUN
advertisement	NOUN
hoardings	NOUN
hoarding	NOUN
factories	NOUN
jutting	ADJ PROPN
jut	ADJ
glassy	ADJ
patches	NOUN
hoeing	VERB
hoe	VERB
dawdle	VERB
craning	VERB
saffron-yellow	ADJ
sabres	NOUN
sabre	NOUN
pips	NOUN
pip	NOUN PROPN
hairy	ADJ
thatched	ADJ
thatch	ADJ NOUN
welshman	NOUN
attorney-general	NOUN
primed	VERB
barley	NOUN
gelatinous	ADJ
granadilla	NOUN
echoes	NOUN
stoked	VERB
underside	NOUN
balancing	VERB NOUN
porcelain	NOUN
dangling	VERB ADJ
clough	PROPN
bristly	ADJ
exaggerate	ADJ
dar-es-salaam	PROPN
dorothy	PROPN
hearty	ADJ
man-of-the-world	NOUN
cloughs	PROPN
buttering	VERB
thorn-trees	NOUN
thorn-tree	NOUN
consul	NOUN
aides	NOUN
disappearing	VERB
consolingly	ADV
tents	NOUN
mmh	INTJ
forbearance	NOUN
exasperation	NOUN
intransigent	ADJ
unwise	ADJ
radcliffe	PROPN
clamouring	VERB
clamour	VERB
martini	NOUN PROPN
patiently	ADV
elders	NOUN
impersonality	NOUN
pigmentation	NOUN
abnormality	NOUN
dalmatian	NOUN
ex-governor	NOUN
bowed	VERB
wiltshire	PROPN
fritzi	PROPN
niece	NOUN
gallant	ADJ
reposting	VERB
repost	VERB
alighted	VERB
alight	VERB
wha'	PRON
grudging	ADJ VERB
self-government	NOUN
sober	ADJ
rinsala	PROPN
pettigrews	PROPN
basting	VERB
home-made	ADJ
ghillie	NOUN
pasilis	PROPN
inattentive	ADJ
fellow-feeling	NOUN
swahili	NOUN
conscientiously	ADV
elf	NOUN
s-sit	VERB
wailed	VERB
shh	INTJ
ushered	VERB
usher	VERB
hiccoughing	VERB
hiccough	VERB
adoration	NOUN
screech	NOUN VERB
grievously	ADV
gratitude	NOUN
hermione	PROPN
voldemort	PROPN
headlamps	NOUN
headlamp	NOUN
hoarsely	ADV
braved	VERB
chink	NOUN
choking	ADJ VERB
choke	ADJ
banged	VERB
madly	ADV
albus	PROPN
dumbledore	PROPN
headmaster	NOUN
bounded	VERB
ear-splitting	ADJ
yelps	NOUN
gritted	ADJ
flat-footed	ADJ
wardrobe	NOUN
slyly	ADV
shuffled	VERB
nimbly	ADV
pillowcase	NOUN
scrawl	NOUN
scribble	NOUN
gamekeeper	NOUN
hagrid	PROPN
porridge	NOUN
dived	VERB
second-year	NOUN
miranda	PROPN
goshawk	PROPN
gadding	VERB
gad	VERB
ghouls	NOUN
hags	NOUN
hag	NOUN
trolls	NOUN
troll	NOUN
voyages	NOUN
werewolves	NOUN
yeti	NOUN
busied	VERB
marmalade	NOUN
blushing	VERB
flaming	ADJ
flame	ADJ NOUN
percy	PROPN
prefect	NOUN
pinned	VERB
leapt	VERB
moulting	ADJ
moult	ADJ
schoolwork	NOUN
diagon	PROPN
alley	PROPN NOUN
paddock	NOUN
apples	NOUN
nimbus	PROPN
outstripped	VERB
outstrip	VERB
marching	VERB
meal-times	NOUN
meal-time	NOUN
frowning	VERB
gringotts	PROPN
galleons	NOUN
sickles	NOUN
sickle	NOUN
knuts	NOUN
knut	NOUN
half-a-dozen	NUM
flowerpot	NOUN
mantelpiece	NOUN
flames	NOUN
emerald	NOUN
well-windowed	ADJ
lutyens	PROPN
poky	ADJ
shrubbed	VERB
noose	NOUN
sun-dial	NOUN
granite	NOUN
scything	VERB
scythe	VERB
aliquem	X
alium	X
internum	X
limeys	NOUN
limey	NOUN
seamen	NOUN
quays	NOUN
quay	NOUN
polisher	NOUN
plaques	NOUN
ticking	VERB
kippers	NOUN
kipper	NOUN
redeem	VERB
stuttered	ADJ
momentum	NOUN
great-grandfather	NOUN
re-settled	VERB
re-settle	VERB
bookshop	NOUN
praising	VERB
wrist	NOUN
chthonic	ADJ
underworld	NOUN
scones	NOUN
scone	NOUN
snail-trail	NOUN
blackmouth	PROPN
stinkpad	NOUN
exchanging	VERB
handkerchiefs	NOUN
cowardice	NOUN
bedshares	VERB
bedshare	VERB
re-eat	VERB
clam	NOUN
fanciful	ADJ
blackness	NOUN
fools	NOUN
navigating	VERB
navigate	VERB
tars	NOUN
mink	NOUN
three-litre	ADJ
three-piece	NOUN
purred	VERB
pur	VERB
tarot	NOUN
totality	NOUN
ambivalent	ADJ
oilskin	NOUN
rainproof	ADJ
monster	NOUN PROPN
kissing	NOUN
gossiped	VERB
lounged	VERB
remington	PROPN
huddled	VERB
huddle	VERB
compensated	VERB
wheedling	VERB
wheedl	VERB
tugs	NOUN
apprenticeship	NOUN
oddity	NOUN
tolerated	VERB
maze	NOUN
speared	VERB
manhood	NOUN
harbourside	NOUN
cranes	NOUN
bananas	NOUN
coconuts	NOUN
satin	NOUN
hemmed	VERB
hem	VERB
look-alikes	NOUN
look-alike	NOUN
cardboard	NOUN ADJ
unpacked	VERB
brandy	NOUN
primus	ADJ
handwriting	NOUN
algonquin	PROPN
gangmen	NOUN
gangman	NOUN
loaders	NOUN
loader	NOUN
fraternity	NOUN
octopus-complex	NOUN
octopus	NOUN
tentacles	NOUN
tentacle	NOUN
analogies	NOUN
behaving	VERB
eight-armed	ADJ
cephalopod	NOUN
torpedo	NOUN
scuppered	VERB
scupper	VERB
sizeable	ADJ
mersey	PROPN
watercolours	NOUN
watercolour	NOUN
troopship	NOUN
godspeed	PROPN
chugged	VERB
chug	VERB
burly	ADV
frying	VERB ADJ
ansi	PROPN
ansi-89	PROPN
compliant	ADJ
wildcard	NOUN
ansi-92	PROPN
adox	PROPN
programmatically	ADV
upsizing	VERB
sum-distinct-price	PROPN
disable	VERB
.odc	X
odc	X
.udl	X
udl	X
file-persistent	ADJ
simplifies	VERB
deploying	VERB
connectionstring	PROPN
connectionfile	NOUN
null	NOUN
previous-version	NOUN
pagefilename.bak.htm	NOUN
pagefilename	NOUN
crosstab	NOUN
restructure	VERB
datasheet	NOUN
dynamically	ADV
datasheets	NOUN
predefined	ADJ
workspace	NOUN
xml-like	ADJ
(collapsible|expandable)	ADJ
xml-based	ADJ
mapped	VERB
transforming	VERB
interprets	VERB
loops	NOUN
iterations	NOUN
iteration	NOUN
exporting	VERB
readily	ADV
optionally	ADV
.mdb	X
mdb	X
.adp	X
adp	X
.xml	X
combinations	NOUN
.xsd	NOUN
reportml	PROPN
queries-views	NOUN
spreadsheet-like	ADJ
_report.xml	PROPN
report.xml	PROPN
.xsl	X
well-formed	ADJ
encompassing	VERB
case-sensitive	ADJ
&amp;apos;	NOUN
apostrophe	NOUN
misinterpreted	VERB
misinterpret	VERB
readability	NOUN
noninteractive	ADJ
unformatted	ADJ
qtr3	NOUN
upward	ADV
downward	ADV
ctrl–c	PROPN
ctrl-c	PROPN
ctrl–v	PROPN
ctrl-v	PROPN
nullvalues	NOUN
nullvalue	NOUN
converts	VERB
licensing	VERB ADJ NOUN
interactivity	NOUN
configures	VERB
configure	VERB
run-time	NOUN
design-time	NOUN
.lpk	X
lpk	X
authoring	ADJ
msdn	X
view-only	ADJ
runtime	NOUN
asterisk	NOUN
(country|region)	NOUN
(countries|regions)	NOUN
(countries|region)	NOUN
ambiguous	ADJ
97	NUM
retest	VERB
rewrite	VERB
rewriting	VERB
aliases	NOUN
reflibpaths	NOUN
registry	NOUN
folder	NOUN
msaccess.exe	PROPN
msaccess	PROPN
folders	NOUN
system32	NOUN
winnt	PROPN
subfolders	NOUN
subfolder	NOUN
unbound	VERB ADJ
unbind	VERB ADJ
subforms	NOUN
subform	NOUN
subreports	NOUN
subreport	NOUN
outermost	ADJ
bitmaps	NOUN
allowadditions	NOUN
allowdeletions	NOUN
allowedits	NOUN
sorting	VERB
ringing	VERB ADJ
salutatory	ADJ
aimlessly	ADV
aimless	ADV ADJ
locution	NOUN
showered	VERB
shaved	VERB
trance	NOUN ADJ
doorknob	NOUN
70th	ADJ
frick	PROPN
vermeer	PROPN
faceless	ADJ
madison	PROPN
forcing	VERB
subvert	VERB
hips	NOUN
voluptuous	ADJ
seductive	ADJ
lipstick	NOUN
frantic	ADJ
richly	ADV
ashtrays	NOUN
ashtray	NOUN
elaborately	ADV
hovered	VERB
gusts	NOUN
gust	NOUN
white-blond	ADJ
uncannily	ADV
armchair	NOUN
machine-like	ADJ
fitful	ADJ
relearned	VERB
relearn	VERB
submovements	NOUN
submovement	NOUN
spontaneity	NOUN
pallor	NOUN
flaxen	ADJ
thinness	NOUN
invisible	ADJ
dumbly	ADV
72nd	ADJ
retraced	VERB
retrace	VERB
107th	ADJ
boozy	ADJ
112th	ADJ
dreary	ADJ
stools	NOUN
rican	ADJ
gristle-studded	ADJ
pattie	NOUN
wilted	ADJ
milkshakes	NOUN
milkshake	NOUN
buns	NOUN
ensconced	VERB
ensconce	VERB
tattoed	VERB
tattoe	VERB
lording	VERB
cigarettes	NOUN
cigars	NOUN
impassively	ADV
night-owl	NOUN
take-out	VERB
overcoat	NOUN
old-fashioned	ADJ
merest	ADJ
increments	NOUN
increment	NOUN
pausing	VERB
briskly	ADV
brisk	ADV
disrupted	VERB
tortoise	NOUN
dutiful	ADV
circumscribed	ADJ
circumscribe	ADJ
haphazard	ADJ ADV
journeys	NOUN
pavement	NOUN
stoop	VERB
archeologist	NOUN
inspecting	VERB
shard	NOUN
prehistoric	ADJ
poring	VERB
pore	VERB
valueless	ADJ
discarded	ADJ
discard	ADJ VERB
collapsible	ADJ
shorn	VERB
shear	VERB
severed	ADJ
sever	ADJ
sogged	ADJ
sog	ADJ
sundry	ADJ
flotsam	NOUN
scavenging	VERB ADJ
scavenge	VERB ADJ
stupidly	ADV
stratagems	NOUN
stratagem	NOUN
remerged	VERB
remerge	VERB
methodically	ADV
macadam	NOUN
footpaths	NOUN
footpath	NOUN
thrashing	VERB
twigs	NOUN
stooped	VERB
97th	ADJ
meaningless	ADJ
biding	VERB
bide	VERB
lulling	VERB
drastic	ADJ
excursions	NOUN
excursion	NOUN
connectedness	NOUN
usurp	VERB
inwardness	NOUN
externals	ADJ NOUN
exert	VERB
mindlessness	NOUN
stagger	VERB
blindman	NOUN
quickening	VERB
crashing	VERB
mishap	NOUN
devised	VERB
devise	VERB
deceleration	NOUN
strictures	NOUN
stricture	NOUN
husk	NOUN
speck	NOUN
bricks	NOUN
probabilities	NOUN
backtracked	VERB
backtrack	VERB
unlisted	ADJ
seeping	VERB
seep	VERB
116th	ADJ
119th	ADJ
well-kept	ADJ
doorknobs	NOUN
bourgeois	ADJ
sobriety	NOUN
appealed	VERB
eleventh	ADJ
intercom	NOUN
mid-thirties	NOUN
rumpled	ADJ
rumple	ADJ
two-day	NOUN
uncapped	ADJ
uncap	ADJ
poised	VERB
poise	VERB
tentatively	ADV
politest	ADJ
apologized	VERB
abstractedly	ADV
abstracted	ADV
muttered	VERB
straining	VERB
dredge	VERB
unfinished	ADJ
oddly	ADV
corridors	NOUN
cluttered	VERB
frayed	ADJ
ploys	NOUN
ludicrous	ADJ
delusions	NOUN
delusion	NOUN
preoccupied	VERB
preoccupy	VERB
chronicler	NOUN
beforehand	ADV
squire	NOUN
destined	VERB
destine	VERB
darkening	VERB
donning	VERB
decipher	VERB
gullibility	NOUN
utmost	ADJ
spew	VERB
windmills	NOUN
windmill	NOUN
blasphemies	NOUN
blasphemy	NOUN
pleaure	NOUN
eluded	VERB
soundless	ADJ
clattering	VERB
slamming	VERB
perked	VERB
excused	VERB
basso	NOUN
guffaw	NOUN
blond-haired	ADJ
yoyo	NOUN
pantomine	NOUN
dunno	VERB
fluted	ADJ
flute	ADJ
whistling	ADJ
gasped	VERB
rewinding	VERB
spool	NOUN
taunting	VERB
lacerating	ADJ
lacerate	ADJ
self-pity	NOUN
drivel	NOUN
yoyos	NOUN
deliverance	NOUN
gyroscope	NOUN
slenderness	NOUN
northfield	PROPN
lengthening	VERB
strides	NOUN
dinginess	NOUN
lasping	VERB
lasp	VERB
encroaches	VERB
encroach	VERB
crumbles	VERB
lathered	VERB
lather	VERB
fart	NOUN
cornflakes	NOUN
dialed	VERB
alternated	VERB
innings	NOUN
infield	NOUN
matched	VERB
youngblood	PROPN
frisked	VERB
frisk	VERB
fore-and-aft	ADV
sidelocks	NOUN
sidelock	NOUN
fringes	NOUN
fringe	NOUN VERB
heathrow	PROPN
restless	ADJ
gesticulating	VERB
gesticulate	VERB
exclaiming	VERB
circumcision	NOUN
firstborn	ADJ
belzer	NOUN
rabbi	NOUN
alexandra	PROPN
enfiladed	VERB
enfilade	VERB
ambush	NOUN
side-locks	NOUN
side-lock	NOUN
tallith	NOUN
katan	NOUN
scapular	NOUN
moses	PROPN
yiddish	NOUN
pimply	ADJ
goggle	VERB
underlip	NOUN
extrudes	VERB
extrude	VERB
impulses	NOUN
saves	VERB
good-hearted	ADJ
visibly	ADV
vividly	ADV
dodging	VERB
aisles	NOUN
aisle	NOUN
chattering	VERB ADJ
geese	NOUN
stewardesses	NOUN
stewardess	NOUN
hostesses	NOUN
merry-minded	ADJ
exulting	VERB
exult	VERB
gentile	ADJ
uniformed	ADJ
attendants	NOUN
bediener	NOUN
bodyless	ADJ
affronted	VERB
recoils	VERB
womenfolk	NOUN
kosher-beef	NOUN
shocks	NOUN
trephena	NOUN
hasidic	ADJ
twenty-five	NUM
shrugging	VERB
fervent	ADJ
discomfiture	NOUN
trays	NOUN
minchah	PROPN
lively	ADJ
childlike	ADJ
cheerful	ADJ
puzzled	VERB
astonish	VERB
gloated	VERB
reactionaries	NOUN
rhodesians	NOUN
rhodesian	NOUN ADJ
toasting	VERB
4-5	NUM
